Date,Event ID,Time,Class
2023-10-02,29875360,08:40,Year 7: 7TL
2023-10-02,31334244,09:00,Drama: Year 7: 7a/DrR
2023-10-02,31336708,09:55,Computer Science: Year 7: 7a/CsR
2023-10-02,31240496,11:10,Spanish: Year 7: 7a/SpI
2023-10-02,31244291,12:05,Maths: Year 7: 7a/MaI
2023-10-02,29881504,13:30,Year 7: 7TL
2023-10-02,31245119,14:00,Design Tech: Year 7: 7a/DTI
2023-10-03,29893251,08:40,Year 7: 7TL
2023-10-03,31247534,09:00,Spanish: Year 7: 7a/SpI
2023-10-03,31319958,09:55,PE Core: Year 7: 7a/PEY
2023-10-03,31237713,11:10,English Comb: Year 7: 7a/EnI
2023-10-03,31337940,12:05,Religious Ed: Year 7: 7a/RER
2023-10-03,29892902,13:30,Year 7: 7TL
2023-10-03,31242060,14:00,Maths: Year 7: 7a/MaI
2023-10-04,29904654,08:40,Year 7: 7TL
2023-10-04,31340236,09:00,Geography: Year 7: 7a/GeR
2023-10-04,31245487,09:55,English Comb: Year 7: 7a/EnI
2023-10-04,31343344,11:10,Religious Ed: Year 7: 7a/RER
2023-10-04,31344436,12:05,History: Year 7: 7a/HiR
2023-10-04,29913955,13:30,Year 7: 7TL
2023-10-04,31238610,14:00,Science: Year 7: 7a/ScI
2023-10-05,29916614,08:40,Year 7: 7TL
2023-10-05,31240358,09:00,Spanish: Year 7: 7a/SpI
2023-10-05,31339004,09:55,Music: Year 7: 7a/MuR
2023-10-05,31340348,11:10,History: Year 7: 7a/HiR
2023-10-05,31342280,12:05,Art and Design: Year 7: 7a/ArR
2023-10-05,29930232,13:30,Year 7: 7TL
2023-10-05,31248247,14:00,English Comb: Year 7: 7a/EnI
2023-10-06,29937659,08:40,Year 7: 7TL
2023-10-06,31335000,09:00,Religious Ed: Year 7: 7a/RER
2023-10-06,31337408,09:55,History: Year 7: 7a/HiR
2023-10-06,31241577,11:10,Maths: Year 7: 7a/MaI
2023-10-06,31243877,12:05,Design Tech: Year 7: 7a/DTI
2023-10-06,29941458,13:30,Year 7: 7TL
2023-10-06,31340124,14:00,Geography: Year 7: 7a/GeR
2023-10-09,29880664,08:40,Year 7: 7TL
2023-10-09,31246085,09:00,English Comb: Year 7: 7a/EnI
2023-10-09,31248707,09:55,Science: Year 7: 7a/ScI
2023-10-09,31336372,11:10,Art and Design: Year 7: 7a/ArR
