Date,Event ID,Time,Class
2023-09-05,29873458,08:40,Year 7: 7VP
2023-09-05,31223753,09:00,Spanish: Year 7: 7a/SpG
2023-09-05,31321058,09:55,PE Core: Year 7: 7a/PEB
2023-09-05,31214852,11:10,English Comb: Year 7: 7a/EnG
2023-09-05,31337885,12:05,Religious Ed: Year 7: 7a/RER
2023-09-05,29874306,13:30,Year 7: 7VP
2023-09-05,31219153,14:00,Maths: Year 7: 7a/MaG
2023-09-06,29874399,08:40,Year 7: 7VP
2023-09-06,31340097,09:00,Geography: Year 7: 7a/GeR
2023-09-06,31222097,09:55,English Comb: Year 7: 7a/EnG
2023-09-06,31343289,11:10,Religious Ed: Year 7: 7a/RER
2023-09-06,31344381,12:05,History: Year 7: 7a/HiR
2023-09-06,29877671,13:30,Year 7: 7VP
2023-09-06,31215726,14:00,Science: Year 7: 7a/ScG
2023-09-07,29880511,08:40,Year 7: 7VP
2023-09-07,31217175,09:00,Science: Year 7: 7a/ScG
2023-09-07,31338949,09:55,Music: Year 7: 7a/MuR
2023-09-07,31340181,11:10,History: Year 7: 7a/HiR
2023-09-07,31342225,12:05,Art and Design: Year 7: 7a/ArR
2023-09-07,29885264,13:30,Year 7: 7VP
2023-09-07,31224788,14:00,English Comb: Year 7: 7a/EnG
2023-09-08,29898714,08:40,Year 7: 7VP
2023-09-08,31334889,09:00,Religious Ed: Year 7: 7a/RER
2023-09-08,31337353,09:55,History: Year 7: 7a/HiR
2023-09-08,31217819,11:10,Maths: Year 7: 7a/MaG
2023-09-08,31221016,12:05,Design Tech: Year 7: 7a/DTG
2023-09-08,29902845,13:30,Year 7: 7VP
2023-09-08,31339985,14:00,Geography: Year 7: 7a/GeR
2023-09-11,29869334,08:40,Year 7: 7VP
2023-09-11,31222626,09:00,English Comb: Year 7: 7a/EnG
2023-09-11,31225846,09:55,Spanish: Year 7: 7a/SpG
2023-09-11,31336289,11:10,Art and Design: Year 7: 7a/ArR
2023-09-11,31337997,12:05,Computer Science: Year 7: 7a/CsR
2023-09-11,29870064,13:30,Year 7: 7VP
2023-09-11,31219475,14:00,Maths: Year 7: 7a/MaG
2023-09-12,29878605,08:40,Year 7: 7VP
2023-09-12,29866339,09:00,Year 7: 7VP
2023-09-12,31221890,09:55,Maths: Year 7: 7a/MaG
2023-09-12,31223960,11:10,Science: Year 7: 7a/ScG
2023-09-12,31343849,12:05,Music: Year 7: 7a/MuR
2023-09-12,29877506,13:30,Year 7: 7VP
2023-09-12,31214944,14:00,English Comb: Year 7: 7a/EnG
2023-09-13,29877116,08:40,Year 7: 7VP
2023-09-13,31217060,09:00,Maths: Year 7: 7a/MaG
2023-09-13,31220165,09:55,Spanish: Year 7: 7a/SpG
2023-09-13,31339509,11:10,History: Year 7: 7a/HiR
2023-09-13,31341693,12:05,Geography: Year 7: 7a/GeR
2023-09-13,29882694,13:30,Year 7: 7VP
2023-09-13,31223638,14:00,Science: Year 7: 7a/ScG
2023-09-14,29887636,08:40,Year 7: 7VP
2023-09-14,31334749,09:00,Religious Ed: Year 7: 7a/RER
2023-09-14,31215933,09:55,Maths: Year 7: 7a/MaG
2023-09-14,31218670,11:10,English Comb: Year 7: 7a/EnG
2023-09-14,31220142,12:05,Science: Year 7: 7a/ScG
2023-09-14,29893340,13:30,Year 7: 7VP
2023-09-14,31320678,14:00,PE Core: Year 7: 7a/PEB
2023-09-15,29910502,08:40,Year 7: 7VP
2023-09-15,31342785,09:00,Geography: Year 7: 7a/GeR
2023-09-15,31224029,09:55,English Comb: Year 7: 7a/EnG
2023-09-15,31335757,11:10,Religious Ed: Year 7: 7a/RER
2023-09-15,31216646,12:05,Science: Year 7: 7a/ScG
2023-09-15,29913516,13:30,Year 7: 7VP
2023-09-15,31320318,14:00,PE Core: Year 7: 7a/PEB
2023-09-18,29870326,08:40,Year 7: 7VP
2023-09-18,31334217,09:00,Drama: Year 7: 7a/DrR
2023-09-18,31336681,09:55,Computer Science: Year 7: 7a/CsR
2023-09-18,31218164,11:10,Spanish: Year 7: 7a/SpG
2023-09-18,31221453,12:05,Maths: Year 7: 7a/MaG
2023-09-18,29871552,13:30,Year 7: 7VP
2023-09-18,31222672,14:00,Design Tech: Year 7: 7a/DTG
2023-09-19,29884135,08:40,Year 7: 7VP
2023-09-19,31223799,09:00,Spanish: Year 7: 7a/SpG
2023-09-19,31321078,09:55,PE Core: Year 7: 7a/PEB
2023-09-19,31214875,11:10,English Comb: Year 7: 7a/EnG
2023-09-19,31337913,12:05,Religious Ed: Year 7: 7a/RER
2023-09-19,29881695,13:30,Year 7: 7VP
2023-09-19,31219199,14:00,Maths: Year 7: 7a/MaG
2023-09-20,29881762,08:40,Year 7: 7VP
2023-09-20,31340153,09:00,Geography: Year 7: 7a/GeR
2023-09-20,31222143,09:55,English Comb: Year 7: 7a/EnG
2023-09-20,31343317,11:10,Religious Ed: Year 7: 7a/RER
2023-09-20,31344409,12:05,History: Year 7: 7a/HiR
2023-09-20,29890233,13:30,Year 7: 7VP
2023-09-20,31215772,14:00,Science: Year 7: 7a/ScG
2023-09-21,29895235,08:40,Year 7: 7VP
2023-09-21,31217221,09:00,Science: Year 7: 7a/ScG
2023-09-21,31338977,09:55,Music: Year 7: 7a/MuR
2023-09-21,31340265,11:10,History: Year 7: 7a/HiR
2023-09-21,31342253,12:05,Art and Design: Year 7: 7a/ArR
2023-09-21,29903647,13:30,Year 7: 7VP
2023-09-21,31224903,14:00,English Comb: Year 7: 7a/EnG
2023-09-22,29921614,08:40,Year 7: 7VP
2023-09-22,31334945,09:00,Religious Ed: Year 7: 7a/RER
2023-09-22,31337381,09:55,History: Year 7: 7a/HiR
2023-09-22,31217865,11:10,Maths: Year 7: 7a/MaG
2023-09-22,31221039,12:05,Design Tech: Year 7: 7a/DTG
2023-09-22,29924025,13:30,Year 7: 7VP
2023-09-22,31340041,14:00,Geography: Year 7: 7a/GeR
2023-09-25,29871776,08:40,Year 7: 7VP
2023-09-25,31222695,09:00,English Comb: Year 7: 7a/EnG
2023-09-25,31225869,09:55,Spanish: Year 7: 7a/SpG
2023-09-25,31336345,11:10,Art and Design: Year 7: 7a/ArR
2023-09-25,31338053,12:05,Computer Science: Year 7: 7a/CsR
2023-09-25,29875039,13:30,Year 7: 7VP
2023-09-25,31219521,14:00,Maths: Year 7: 7a/MaG
2023-09-26,29891560,08:40,Year 7: 7VP
2023-09-26,29866367,09:00,Year 7: 7VP
2023-09-26,31221913,09:55,Maths: Year 7: 7a/MaG
2023-09-26,31224052,11:10,Science: Year 7: 7a/ScG
2023-09-26,31343877,12:05,Music: Year 7: 7a/MuR
2023-09-26,29886915,13:30,Year 7: 7VP
2023-09-26,31214990,14:00,English Comb: Year 7: 7a/EnG
2023-09-27,29888108,08:40,Year 7: 7VP
2023-09-27,31217083,09:00,Maths: Year 7: 7a/MaG
2023-09-27,31220211,09:55,Spanish: Year 7: 7a/SpG
2023-09-27,31339537,11:10,History: Year 7: 7a/HiR
2023-09-27,31341721,12:05,Geography: Year 7: 7a/GeR
2023-09-27,29897803,13:30,Year 7: 7VP
2023-09-27,31223661,14:00,Science: Year 7: 7a/ScG
2023-09-28,29903291,08:40,Year 7: 7VP
2023-09-28,31334777,09:00,Religious Ed: Year 7: 7a/RER
2023-09-28,31215979,09:55,Maths: Year 7: 7a/MaG
2023-09-28,31218716,11:10,English Comb: Year 7: 7a/EnG
2023-09-28,31220188,12:05,Science: Year 7: 7a/ScG
2023-09-28,29916065,13:30,Year 7: 7VP
2023-09-28,31320698,14:00,PE Core: Year 7: 7a/PEB
2023-09-29,29933489,08:40,Year 7: 7VP
2023-09-29,31342813,09:00,Geography: Year 7: 7a/GeR
2023-09-29,31224121,09:55,English Comb: Year 7: 7a/EnG
2023-09-29,31335813,11:10,Religious Ed: Year 7: 7a/RER
2023-09-29,31216669,12:05,Science: Year 7: 7a/ScG
2023-09-29,29934347,13:30,Year 7: 7VP
2023-09-29,31320338,14:00,PE Core: Year 7: 7a/PEB
2023-10-02,29875135,08:40,Year 7: 7VP
2023-10-02,31334245,09:00,Drama: Year 7: 7a/DrR
2023-10-02,31336709,09:55,Computer Science: Year 7: 7a/CsR
2023-10-02,31218210,11:10,Spanish: Year 7: 7a/SpG
2023-10-02,31221476,12:05,Maths: Year 7: 7a/MaG
2023-10-02,29879392,13:30,Year 7: 7VP
2023-10-02,31222741,14:00,Design Tech: Year 7: 7a/DTG
2023-10-03,29903774,08:40,Year 7: 7VP
2023-10-03,31223845,09:00,Spanish: Year 7: 7a/SpG
2023-10-03,31321098,09:55,PE Core: Year 7: 7a/PEB
2023-10-03,31214898,11:10,English Comb: Year 7: 7a/EnG
2023-10-03,31337941,12:05,Religious Ed: Year 7: 7a/RER
2023-10-03,29895356,13:30,Year 7: 7VP
2023-10-03,31219245,14:00,Maths: Year 7: 7a/MaG
2023-10-04,29896378,08:40,Year 7: 7VP
2023-10-04,31340237,09:00,Geography: Year 7: 7a/GeR
2023-10-04,31222189,09:55,English Comb: Year 7: 7a/EnG
2023-10-04,31343345,11:10,Religious Ed: Year 7: 7a/RER
2023-10-04,31344437,12:05,History: Year 7: 7a/HiR
2023-10-04,29906202,13:30,Year 7: 7VP
2023-10-04,31215795,14:00,Science: Year 7: 7a/ScG
2023-10-05,29912396,08:40,Year 7: 7VP
2023-10-05,31217267,09:00,Science: Year 7: 7a/ScG
2023-10-05,31339005,09:55,Music: Year 7: 7a/MuR
2023-10-05,31340349,11:10,History: Year 7: 7a/HiR
2023-10-05,31342281,12:05,Art and Design: Year 7: 7a/ArR
2023-10-05,29927481,13:30,Year 7: 7VP
2023-10-05,31224995,14:00,English Comb: Year 7: 7a/EnG
2023-10-06,29946077,08:40,Year 7: 7VP
2023-10-06,31335001,09:00,Religious Ed: Year 7: 7a/RER
2023-10-06,31337409,09:55,History: Year 7: 7a/HiR
2023-10-06,31217911,11:10,Maths: Year 7: 7a/MaG
2023-10-06,31221062,12:05,Design Tech: Year 7: 7a/DTG
2023-10-06,29945386,13:30,Year 7: 7VP
2023-10-06,31340125,14:00,Geography: Year 7: 7a/GeR
2023-10-09,29879295,08:40,Year 7: 7VP
2023-10-09,31222764,09:00,English Comb: Year 7: 7a/EnG
2023-10-09,31225892,09:55,Spanish: Year 7: 7a/SpG
2023-10-09,31336373,11:10,Art and Design: Year 7: 7a/ArR
2023-10-09,31338109,12:05,Computer Science: Year 7: 7a/CsR
2023-10-09,29884458,13:30,Year 7: 7VP
2023-10-09,31219567,14:00,Maths: Year 7: 7a/MaG
2023-10-10,29912178,08:40,Year 7: 7VP
2023-10-10,29866395,09:00,Year 7: 7VP
2023-10-10,31221936,09:55,Maths: Year 7: 7a/MaG
2023-10-10,31224144,11:10,Science: Year 7: 7a/ScG
2023-10-10,31343905,12:05,Music: Year 7: 7a/MuR
2023-10-10,29905483,13:30,Year 7: 7VP
2023-10-10,31215036,14:00,English Comb: Year 7: 7a/EnG
2023-10-11,29904332,08:40,Year 7: 7VP
2023-10-11,31217106,09:00,Maths: Year 7: 7a/MaG
2023-10-11,31220257,09:55,Spanish: Year 7: 7a/SpG
